iters	scheduling	tab_size	time
4	static,4	2000	0m0.006s
5	static,4	2000	0m0.006s
6	static,4	2000	0m0.002s
7	static,4	2000	0m0.007s
8	static,4	2000	0m0.010s
9	static,4	2000	0m0.006s
0	static,4	20000	0m0.008s
1	static,4	20000	0m0.009s
2	static,4	20000	0m0.002s
3	static,4	20000	0m0.009s
4	static,4	20000	0m0.003s
5	static,4	20000	0m0.009s
6	static,4	20000	0m0.006s
7	static,4	20000	0m0.003s
8	static,4	20000	0m0.007s
9	static,4	20000	0m0.006s
0	static,4	200000	0m0.011s
1	static,4	200000	0m0.011s
2	static,4	200000	0m0.010s
3	static,4	200000	0m0.011s
4	static,4	200000	0m0.010s
5	static,4	200000	0m0.005s
6	static,4	200000	0m0.014s
7	static,4	200000	0m0.013s
8	static,4	200000	0m0.010s
9	static,4	200000	0m0.006s
0	static,4	2000000	0m0.026s
1	static,4	2000000	0m0.013s
2	static,4	2000000	0m0.014s
3	static,4	2000000	0m0.022s
4	static,4	2000000	0m0.014s
5	static,4	2000000	0m0.014s
6	static,4	2000000	0m0.013s
7	static,4	2000000	0m0.031s
8	static,4	2000000	0m0.027s
9	static,4	2000000	0m0.017s
0	static,4	20000000	0m0.112s
1	static,4	20000000	0m0.130s
2	static,4	20000000	0m0.110s
3	static,4	20000000	0m0.124s
4	static,4	20000000	0m0.138s
5	static,4	20000000	0m0.141s
6	static,4	20000000	0m0.118s
7	static,4	20000000	0m0.123s
8	static,4	20000000	0m0.120s
9	static,4	20000000	0m0.132s
0	static,4	200000000	0m1.063s
1	static,4	200000000	0m1.126s
2	static,4	200000000	0m1.115s
3	static,4	200000000	0m1.087s
4	static,4	200000000	0m1.094s
5	static,4	200000000	0m1.128s
6	static,4	200000000	0m1.090s
7	static,4	200000000	0m1.121s
8	static,4	200000000	0m1.122s
9	static,4	200000000	0m1.077s
0	dynamic,64	2	0m0.009s
1	dynamic,64	2	0m0.004s
2	dynamic,64	2	0m0.002s
3	dynamic,64	2	0m0.002s
4	dynamic,64	2	0m0.003s
5	dynamic,64	2	0m0.003s
6	dynamic,64	2	0m0.002s
7	dynamic,64	2	0m0.003s
8	dynamic,64	2	0m0.002s
9	dynamic,64	2	0m0.002s
0	dynamic,64	20	0m0.002s
1	dynamic,64	20	0m0.002s
2	dynamic,64	20	0m0.002s
3	dynamic,64	20	0m0.003s
4	dynamic,64	20	0m0.002s
5	dynamic,64	20	0m0.009s
6	dynamic,64	20	0m0.008s
7	dynamic,64	20	0m0.009s
8	dynamic,64	20	0m0.007s
9	dynamic,64	20	0m0.002s
0	dynamic,64	200	0m0.002s
1	dynamic,64	200	0m0.002s
2	dynamic,64	200	0m0.002s
3	dynamic,64	200	0m0.002s
4	dynamic,64	200	0m0.002s
5	dynamic,64	200	0m0.002s
6	dynamic,64	200	0m0.002s
7	dynamic,64	200	0m0.002s
8	dynamic,64	200	0m0.002s
9	dynamic,64	200	0m0.002s
0	dynamic,64	2000	0m0.002s
1	dynamic,64	2000	0m0.009s
2	dynamic,64	2000	0m0.002s
3	dynamic,64	2000	0m0.002s
4	dynamic,64	2000	0m0.009s
5	dynamic,64	2000	0m0.007s
6	dynamic,64	2000	0m0.008s
7	dynamic,64	2000	0m0.003s
8	dynamic,64	2000	0m0.002s
9	dynamic,64	2000	0m0.002s
0	dynamic,64	20000	0m0.002s
1	dynamic,64	20000	0m0.002s
2	dynamic,64	20000	0m0.002s
3	dynamic,64	20000	0m0.002s
4	dynamic,64	20000	0m0.003s
5	dynamic,64	20000	0m0.002s
6	dynamic,64	20000	0m0.010s
7	dynamic,64	20000	0m0.011s
8	dynamic,64	20000	0m0.009s
9	dynamic,64	20000	0m0.009s
0	dynamic,64	200000	0m0.004s
1	dynamic,64	200000	0m0.003s
2	dynamic,64	200000	0m0.003s
3	dynamic,64	200000	0m0.003s
4	dynamic,64	200000	0m0.003s
5	dynamic,64	200000	0m0.004s
6	dynamic,64	200000	0m0.003s
7	dynamic,64	200000	0m0.004s
8	dynamic,64	200000	0m0.008s
9	dynamic,64	200000	0m0.009s
0	dynamic,64	2000000	0m0.015s
1	dynamic,64	2000000	0m0.021s
2	dynamic,64	2000000	0m0.014s
3	dynamic,64	2000000	0m0.012s
4	dynamic,64	2000000	0m0.011s
5	dynamic,64	2000000	0m0.012s
6	dynamic,64	2000000	0m0.011s
7	dynamic,64	2000000	0m0.011s
